kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,16,4,8.197000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,5,8.511000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,6,8.334000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,7,8.228000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,8,8.422000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,9,8.247000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,10,8.502000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,11,8.201000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,12,8.190000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,13,8.140000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,14,8.234000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,15,8.186000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,16,8.221000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,17,8.210000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,18,8.205000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,19,8.215000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,0,8.374000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,1,8.409000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,2,8.481000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,3,8.379000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,4,8.382000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,5,8.314000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,6,8.378000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,7,8.339000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,8,8.305000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,9,8.378000,set1,flang-openmp,mimalloc
